indicator_orig,indic_id,indicator_harmonized
Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,IPBES_SUA_sup_2.3.1_17,volume of production per labour unit by classes of farming/pastoral/forestry enterprise size
"Average income of small-scale food producers, by sex and indigenous status",IPBES_SUA_sup_2.3.2_18,"average income of small-scale food producers, by sex and indigenous status"
Proportion of agricultural area under productive and sustainable agriculture,IPBES_SUA_sup_2.4.1_19,proportion of agricultural area under productive and sustainable agriculture
Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,IPBES_SUA_sup_2.5.1_20,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities
Proportion of local breeds classified as being at risk of extinction,IPBES_SUA_sup_2.5.2_21,proportion of local breeds classified as being at risk of extinction
The agriculture orientation index for government expenditures,IPBES_SUA_sup_2.a.1_22,agriculture orientation index for government expenditures
Total official flows (official development assistance plus other official flows) to the agriculture sector,IPBES_SUA_sup_2.a.2_23,total official flows (official development assistance plus other official flows) to the agriculture sector
Agricultural export subsidies,IPBES_SUA_sup_2.b.1_24,agricultural export subsidies
Indicator of food price anomalies,IPBES_SUA_sup_2.c.1_25,indicator of food price anomalies
"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",IPBES_SUA_sup_5.a.1.a_26,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex"
"share of women among owners or rights-bearers of agricultural land, by type of tenure",IPBES_SUA_sup_5.a.1.b_27,"share of women among owners or rights-bearers of agricultural land, by type of tenure"
Proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control,IPBES_SUA_sup_5.a.2_28,proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control
Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,IPBES_SUA_sup_5.c.1_29,proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment
Proportion of population using safely managed drinking water services,IPBES_SUA_sup_6.1.1_30,proportion of population using safely managed drinking water services
Proportion of bodies of water with good ambient water quality,IPBES_SUA_sup_6.3.2_31,proportion of bodies of water with good ambient water quality
Change in water-use efficiency over time,IPBES_SUA_sup_6.4.1_32,change in water-use efficiency over time
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,IPBES_SUA_sup_6.4.2_33,level of water stress (freshwater withdrawal as a proportion of available freshwater resources)
Degree of integrated water resources management,IPBES_SUA_sup_6.5.1_34,degree of integrated water resources management
Proportion of transboundary basin area with an operational arrangement for water cooperation,IPBES_SUA_sup_6.5.2_35,proportion of transboundary basin area with an operational arrangement for water cooperation
Change in the extent of water-related ecosystems over time,IPBES_SUA_sup_6.6.1_36,change in the extent of water-related ecosystems over time
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,IPBES_SUA_sup_6.a.1_37,amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan
Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,IPBES_SUA_sup_6.b.1_38,proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management
Proportion of population with primary reliance on clean fuels and technology,IPBES_SUA_sup_7.1.2_39,proportion of population with primary reliance on clean fuels and technology
Renewable energy share in the total final energy consumption,IPBES_SUA_sup_7.2.1_40,renewable energy share in the total final energy consumption
Energy intensity measured in terms of primary energy and GDP,IPBES_SUA_sup_7.3.1_41,energy intensity measured in terms of primary energy and gross domestic product
"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",IPBES_SUA_sup_7.a.1_42,"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems"
Installed renewable energy-generating capacity in developing countries (in watts per capita),IPBES_SUA_sup_7.b.1_43,installed renewable energy-generating capacity in developing countries (in watts per capita)
Annual growth rate of real GDP per capita,IPBES_SUA_sup_8.1.1_44,annual growth rate of real gross domestic product
Annual growth rate of real GDP per employed person,IPBES_SUA_sup_8.2.1_45,annual growth rate of real gross domestic product per employed person
"Proportion of informal employment in total employment, by sector and sex",IPBES_SUA_sup_8.3.1_46,"proportion of informal employment in total employment, by sector and sex"
"Material footprint, material footprint per capita, and material footprint per GDP",IPBES_SUA_sup_8.4.1_47,"material footprint, material footprint per capita, and material footprint per gross domestic product"
"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",IPBES_SUA_sup_8.4.2_48,"domestic material consumption, domestic material consumption, and domestic material consumption per gross domestic product"
"Average hourly earnings of employees, by sex, age, occupation and persons with disabilities",IPBES_SUA_sup_8.5.1_49,"average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"Unemployment rate, by sex, age and persons with disabilities",IPBES_SUA_sup_8.5.2_50,"unemployment rate, by sex, age and persons with disabilities"
"Proportion of youth (aged 15–24 years) not in education, employment or training",IPBES_SUA_sup_8.6.1_51,"proportion of youth (aged 15-24 years) not in education, employment or training"
"Proportion and number of children aged 5–17 years engaged in child labour, by sex and age",IPBES_SUA_sup_8.7.1_52,"proportion and number of children aged 5-17 years engaged in child labour, by sex and age"
"Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",IPBES_SUA_sup_8.8.1_53,"fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status"
"Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status",IPBES_SUA_sup_8.8.2_54,"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status"
Tourism direct GDP as a proportion of total GDP and in growth rate,IPBES_SUA_sup_8.9.1_55,tourism direct gross domestic product as a proportion of total gross domestic product and in growth rate
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,IPBES_SUA_sup_8.10.2_56,proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider
Aid for Trade commitments and disbursements,IPBES_SUA_sup_8.a.1_57,aid for trade commitments and disbursements
"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",IPBES_SUA_sup_8.b.1_58,"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy"
Proportion of the rural population who live within 2 km of an all-season road,IPBES_SUA_sup_9.1.1_59,proportion of the rural population who live within 2 km of an all-season road
"Passenger and freight volumes, by mode of transport",IPBES_SUA_sup_9.1.2_60,"passenger and freight volumes, by mode of transport"
Manufacturing value added as a proportion of GDP and per capita,IPBES_SUA_sup_9.2.1_61,manufacturing value added as a proportion of gross domestic product and per capita
Manufacturing employment as a proportion of total employment,IPBES_SUA_sup_9.2.2_62,manufacturing employment as a proportion of total employment
Proportion of small-scale industries in total industry value added,IPBES_SUA_sup_9.3.1_63,proportion of small-scale industries in total industry value added
Proportion of small-scale industries with a loan or line of credit,IPBES_SUA_sup_9.3.2_64,proportion of small-scale industries with a loan or line of credit
CO2 emission per unit of value added,IPBES_SUA_sup_9.4.1_65,co2 emission per unit of value added
Research and development expenditure as a proportion of GDP,IPBES_SUA_sup_9.5.1_66,research and development expenditure as a proportion of gross domestic product
Total official international support (official development assistance plus other official flows) to infrastructure,IPBES_SUA_sup_9.a.1_67,total official international support (official development assistance plus other official flows) to infrastructure
Proportion of medium and high-tech industry value added in total value added,IPBES_SUA_sup_9.b.1_68,proportion of medium and high-tech industry value added in total value added
"Proportion of population covered by a mobile network, by technology",IPBES_SUA_sup_9.c.1_69,"proportion of population covered by a mobile network, by technology"
Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,IPBES_SUA_sup_10.1.1_70,growth rates of household expenditure or income per capita among the bottom 40 percent of the population and the total population
"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",IPBES_SUA_sup_10.2.1_71,"proportion of people living below 50 percent of median income, by sex, age and persons with disabilities"
Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,IPBES_SUA_sup_10.3.1_72,proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
Labour share of GDP,IPBES_SUA_sup_10.4.1_73,labour share of gross domestic product
Proportion of members and voting rights of developing countries in international organizations,IPBES_SUA_sup_10.6.1_74,proportion of members and voting rights of developing countries in international organizations
"Number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",IPBES_SUA_sup_10.7.2_75,"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people"
Number of people who died or disappeared in the process of migration towards an international destinationi,IPBES_SUA_sup_10.7.3_76,number of people who died or disappeared in the process of migration towards an international destinationi
"Proportion of the population who are refugees, by country of origin",IPBES_SUA_sup_10.7.4_77,"proportion of the population who are refugees, by country of origin"
"Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",IPBES_SUA_sup_10.b.1_78,"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)"
Ratio of land consumption rate to population growth rate,IPBES_SUA_sup_11.3.1_79,ratio of land consumption rate to population growth rate
"Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",IPBES_SUA_sup_11.4.1_80,"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)"
"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",IPBES_SUA_sup_11.5.1_81,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
"Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",IPBES_SUA_sup_11.5.2_82,"direct economic loss in relation to global gross domestic product, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters"
Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),IPBES_SUA_sup_11.6.2_83,annual mean levels of fine particulate matter in cities
"Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",IPBES_SUA_sup_11.7.2_84,"proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,IPBES_SUA_sup_11.a.1_85,number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space
Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,IPBES_SUA_sup_11.b.1_86,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030
Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,IPBES_SUA_sup_11.b.2_87,proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
"Number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",IPBES_SUA_sup_12.1.1_88,"number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices"
"Material footprint, material footprint per capita, and material footprint per GDP",IPBES_SUA_sup_12.2.1_89,"material footprint, material footprint per capita, and material footprint per gross domestic product"
"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",IPBES_SUA_sup_12.2.2_90,"domestic material consumption, domestic material consumption, and domestic material consumption per gross domestic product"
Food loss index,IPBES_SUA_sup_12.3.1.a_91,food loss index
food waste index,IPBES_SUA_sup_12.3.1.b_92,food waste index
Hazardous waste generated per capita,IPBES_SUA_sup_12.4.2.a_93,hazardous waste
"proportion of hazardous waste treated, by type of treatment",IPBES_SUA_sup_12.4.2.b_94,"proportion of hazardous waste treated, by type of treatment"
"National recycling rate, tons of material recycled",IPBES_SUA_sup_12.5.1_95,"national recycling rate, tons of material recycled"
Number of companies publishing sustainability reports,IPBES_SUA_sup_12.6.1_96,number of companies publishing sustainability reports
Degree of sustainable public procurement policies and action plan implementation,IPBES_SUA_sup_12.7.1_97,degree of sustainable public procurement policies and action plan implementation
Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,IPBES_SUA_sup_12.8.1_98,"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments"
Installed renewable energy-generating capacity in developing countries (in watts per capita),IPBES_SUA_sup_12.a.1_99,installed renewable energy-generating capacity in developing countries (in watts per capita)
Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,IPBES_SUA_sup_12.b.1_100,implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability
Amount of fossil-fuel subsidies per unit of GDP (production and consumption),IPBES_SUA_sup_12.c.1_101,amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption)
"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",IPBES_SUA_sup_13.1.1_102,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,IPBES_SUA_sup_13.1.2_103,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030
Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,IPBES_SUA_sup_13.1.3_104,proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
"Number of countries with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",IPBES_SUA_sup_13.2.1_105,"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change"
Total greenhouse gas emissions per year,IPBES_SUA_sup_13.2.2_106,total greenhouse gas emissions per year
Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,IPBES_SUA_sup_13.3.1_107,"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments"
Amounts provided and mobilized in United States dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,IPBES_SUA_sup_13.a.1_108,amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025
"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",IPBES_SUA_sup_13.b.1_109,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change"
Index of coastal eutrophication,IPBES_SUA_sup_14.1.1.a_110,index of coastal eutrophication potential (icep)
plastic debris density,IPBES_SUA_sup_14.1.1.b_111,plastic debris density
Number of countries using ecosystem-based approaches to managing marine areas,IPBES_SUA_sup_14.2.1_112,number of countries using ecosystem-based approaches to managing marine areas
Average marine acidity (pH) measured at agreed suite of representative sampling stations,IPBES_SUA_sup_14.3.1_113,average marine acidity (ph) measured at agreed suite of representative sampling stations
Proportion of fish stocks within biologically sustainable levels,IPBES_SUA_sup_14.4.1_114,proportion of fish stocks within biologically sustainable levels
Coverage of protected areas in relation to marine areas,IPBES_SUA_sup_14.5.1_115,protected area coverage of marine and coastal areas
"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",IPBES_SUA_sup_14.6.1_116,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
"Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries",IPBES_SUA_sup_14.7.1_117,"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries"
Proportion of total research budget allocated to research in the field of marine technology,IPBES_SUA_sup_14.a.1_118,proportion of total research budget allocated to research in the field of marine technology
Degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,IPBES_SUA_sup_14.b.1_119,degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries
"Number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the United Nations Convention on the Law of the Sea, for the conservation and sustainable use of the oceans and their resources",IPBES_SUA_sup_14.c.1_120,"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources"
Forest area as a proportion of total land area,IPBES_SUA_sup_15.1.1_121,forest area as a percentage of total land area
"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",IPBES_SUA_sup_15.1.2_122,protected area coverage of important sites for terrestrial and freshwater biodiversity
Progress towards sustainable forest management,IPBES_SUA_sup_15.2.1_123,progress towards sustainable forest management
Proportion of land that is degraded over total land area,IPBES_SUA_sup_15.3.1_124,proportion of land that is degraded over total land area
Coverage by protected areas of important sites for mountain biodiversity,IPBES_SUA_sup_15.4.1_125,protected area coverage of important sites for mountain biodiversity
Mountain Green Cover Index,IPBES_SUA_sup_15.4.2_126,mountain green cover index
Red List Index,IPBES_SUA_sup_15.5.1_127,red list index
"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",IPBES_SUA_sup_15.6.1_128,"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits"
Proportion of traded wildlife that was poached or illicitly trafficked,IPBES_SUA_sup_15.7.1_129,proportion of traded wildlife that was poached or illicitly trafficked
Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,IPBES_SUA_sup_15.8.1_130,proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species
Number of countries that have established national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011–2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,IPBES_SUA_sup_15.9.1.a_131,number of countries that have established national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020 in their national biodiversity strategy and action plans and the progress reported towards these targets
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting",IPBES_SUA_sup_15.9.1.b_132,"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting"
Official development assistance on conservation and sustainable use of biodiversity,IPBES_SUA_sup_15.a.1.a_133,official development assistance on conservation and sustainable use of biodiversity
revenue generated and finance mobilized from biodiversity-relevant economic instruments,IPBES_SUA_sup_15.a.1.b_134,revenue generated and finance mobilized from biodiversity relevant economic instruments
Official development assistance on conservation and sustainable use of biodiversity,IPBES_SUA_sup_15.b.1.a_135,official development assistance on conservation and sustainable use of biodiversity
revenue generated and finance mobilized from biodiversity-relevant economic instruments,IPBES_SUA_sup_15.b.1.b_136,revenue generated and finance mobilized from biodiversity relevant economic instruments
Proportion of traded wildlife that was poached or illicitly trafficked,IPBES_SUA_sup_15.c.1_137,proportion of traded wildlife that was poached or illicitly trafficked
"Total government revenue as a proportion of GDP, by source",IPBES_SUA_sup_17.1.1_138,"total government revenue as a proportion of gross domestic product, by source"
Proportion of domestic budget funded by domestic taxes,IPBES_SUA_sup_17.1.2_139,proportion of domestic budget funded by domestic taxes
"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",IPBES_SUA_sup_17.2.1_140,"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)"
"Foreign direct investment, official development assistance and South-South cooperation as a proportion of gross national income",IPBES_SUA_sup_17.3.1_141,"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget"
Volume of remittances (in United States dollars) as a proportion of total GDP,IPBES_SUA_sup_17.3.2_142,volume of remittances (in united states dollars) as a proportion of total gross domestic product
"Number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",IPBES_SUA_sup_17.5.1_143,"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries"
"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",IPBES_SUA_sup_17.7.1_144,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
Proportion of individuals using the Internet,IPBES_SUA_sup_17.8.1_145,proportion of individuals using the internet
"Dollar value of financial and technical assistance (including through North-South, South‑South and triangular cooperation) committed to developing countries",IPBES_SUA_sup_17.9.1_146,"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries"
Worldwide weighted tariff-average,IPBES_SUA_sup_17.10.1_147,worldwide weighted tariff-average
Developing countries’ and least developed countries’ share of global exports,IPBES_SUA_sup_17.11.1_148,developing countries’ and least developed countries’ share of global exports
"Weighted average tariffs faced by developing countries, least developed countries and small island developing States",IPBES_SUA_sup_17.12.1_149,"weighted average tariffs faced by developing countries, least developed countries and small island developing states"
Number of countries with mechanisms in place to enhance policy coherence of sustainable development,IPBES_SUA_sup_17.14.1_150,number of countries with mechanisms in place to enhance policy coherence of sustainable development
Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,IPBES_SUA_sup_17.15.1_151,extent of use of country-owned results frameworks and planning tools by providers of development cooperation
Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,IPBES_SUA_sup_17.16.1_152,number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals
Amount in United States dollars committed to public-private partnerships for infrastructure,IPBES_SUA_sup_17.17.1_153,amount in united states dollars committed to public-private partnerships for infrastructure
Statistical capacity indicator for Sustainable Development Goal monitoring,IPBES_SUA_sup_17.18.1_154,statistical capacity indicator for sustainable development goal monitoring
Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics,IPBES_SUA_sup_17.18.2_155,number of countries that have national statistical legislation that complies with the fundamental principles of official statistics
"Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",IPBES_SUA_sup_17.18.3_156,"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding"
Dollar value of all resources made available to strengthen statistical capacity in developing countries,IPBES_SUA_sup_17.19.1_157,dollar value of all resources made available to strengthen statistical capacity in developing countries
