goal_target,indicator_orig,indic_id,indicator_harmonized,indicator_type
Target 15,"Number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production.",GBF_T15_H_40,"number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production",Binary
Target 16,"Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices.",GBF_T16_H_41,"number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices",Binary
Target 17,Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19.,GBF_T17_H_42,number of countries that have taken action to implement biosafety measures as set out in article 8(g) of the convention and measures for the handling of biotechnology and the distribution of its benefits as set out in article 19,Binary
Target 18,Positive incentives in place to promote biodiversity conservation and sustainable use,GBF_T18_H_43,positive incentives in place to promote biodiversity conservation and sustainable use,Headline
Target 18,Value of subsidies and other incentives harmful to biodiversity,GBF_T18_H_44,value of subsidies and other incentives harmful to biodiversity,Headline
Target 19,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",GBF_T19_H_45,"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",Headline
Target 19,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,GBF_T19_H_46,domestic public funding on conservation and sustainable use of biodiversity and ecosystems,Headline
Target 19,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,GBF_T19_H_47,private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,Headline
Target 20,"Number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation.",GBF_T20_H_48,"number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation",Binary
Target 21,Indicator on biodiversity information for monitoring the global biodiversity framework,GBF_T21_H_49,indicator on biodiversity information for monitoring the global biodiversity framework,Headline
Target 22,"Number of countries taking action towards the full, equitable, inclusive, effective and gender-responsive representation and participation in decision-making and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders",GBF_T22_H_50,"number of countries taking action towards the full, equitable, inclusive, effective and gender-responsive representation and participation in decision-making and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders",Binary
Target 23,"Number of countries with legal, administrative or policy frameworks, including the Gender Plan of Action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources.",GBF_T23_H_51,"number of countries with legal, administrative or policy frameworks, including the gender plan of action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the convention, including by ensuring women’s equal rights and access to land and natural resources",Binary
Goal A,Ecosystem Intactness Index,GBF_GA_C_1,ecosystem intactness index,component
Goal A,Ecosystem Integrity Index,GBF_GA_C_2,ecosystem integrity index,component
Goal A,Species habitat Index,GBF_GA_C_3,species habitat index,component
Goal A,Biodiversity Habitat Index,GBF_GA_C_4,biodiversity habitat index,component
Goal A,Protected Connected (Protconn) index,GBF_GA_C_5,protected connected (protconn) index,component
Goal A,Protected Area Connectedness Index (PARC-Connectedness),GBF_GA_C_6,protected area connectedness (parc-connectedness) index,component
Goal A,Evolutionarily Distinct and Globally Endangered (EDGE),GBF_GA_C_7,evolutionarily distinct and globally endangered (edge),component
Goal A,Living Planet Index,GBF_GA_C_8,living planet index,component
Goal A,Change in the extent of water-related ecosystems over time,GBF_GA_C_9,change in the extent of water-related ecosystems over time,component
Goal B,Red List Index (for utilized species),GBF_GB_C_10,red list index (for utilized species),component
Goal B,Living Planet Index (for used species),GBF_GB_C_11,living planet index (used species),component
Target 1,Priority retention of intact / wilderness areas,GBF_T1_C_14,priority retention of intact / wilderness areas,component
Target 2,Extent of natural ecosystems by type,GBF_T2_C_15,extent of natural ecosystems,component
Target 2,Maintenance and restoration of connectivity of natural ecosystems,GBF_T2_C_16,maintenance and restoration of connectivity of natural ecosystems,component
Target 3,Protected area coverage of key biodiversity areas,GBF_T3_C_17,protected area coverage of key biodiversity areas,component
Target 3,Protected Area Management Effectiveness (PAME),GBF_T3_C_18,protected area management effectiveness (pame),component
Target 3,Protconn,GBF_T3_C_19,protected connected (protconn) index,component
Target 3,Protected Area Connectedness Index (PARC-Connectedness),GBF_T3_C_20,protected area connectedness (parc-connectedness) index,component
Target 3,Red List of Ecosystems,GBF_T3_C_21,red list of ecosystems,component
Target 3,Connectivity Indicator (in development),GBF_T3_C_22,connectivity indicator,component
Target 3,The number of protected areas that have completed a site-level assessment of governance and equity (SAGE),GBF_T3_C_23,the number of protected areas that have completed a site-level assessment of governance and equity (sage),component
Target 3,Species Protection Index,GBF_T3_C_24,species protection index,component
Target 4,Living Planet Index,GBF_T4_C_25,living planet index,component
Target 4,Number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF_T4_C_26,number of plant and animal genetic resources secured in medium or long-term conservation facilities,component
Target 4,Trends in effective and sustainable management of human-wildlife conflict and coexistence,GBF_T4_C_27,trends in effective and sustainable management of human-wildlife conflict and coexistence,component
Target 4,Green Status of Species Index,GBF_T4_C_28,green status of species index,component
Target 4,Conservation status of species listed in the CITES Appendices has stabilized or improved,GBF_T4_C_29,conservation status of species listed in the cites appendices has stabilized or improved,component
Target 5,Red List Index for used species,GBF_T5_C_30,red list index (for utilized species),component
Target 5,Living Planet Index for used species,GBF_T5_C_31,living planet index (used species),component
Target 5,Sustainable use of Wild Species,GBF_T5_C_32,sustainable use of wild species,component
Target 6,Rate of invasive species impact and rate of impact,GBF_T6_C_33,rate of invasive species impact and rate of impact,component
Target 6,Rate of invasive alien species spread,GBF_T6_C_34,rate of invasive alien species spread,component
Target 6,Number of invasive alien species introduction events,GBF_T6_C_35,number of invasive alien species introduction events,component
Target 7,Fertilizer use,GBF_T7_C_36,fertilizer use,component
Target 7,Proportion of domestic and industrial wastewater flow safely treated,GBF_T7_C_37,proportion of domestic and industrial wastewater flows safely treated,component
Target 7,Floating plastic debris density [by micro and macro plastics],GBF_T7_C_38,plastic debris density,component
Target 7,Red List Index (impact of pollution),GBF_T7_C_39,red list index (impacts of pollution),component
Target 8,Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts),GBF_T8_C_40,total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),component
Target 8,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity,GBF_T8_C_41,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030,component
Target 8,National greenhouse inventories from land use and land use change,GBF_T8_C_42,national greenhouse inventories from land use and land use change,component
Target 8,Bioclimatic Ecosystem Resilience Index (BERI),GBF_T8_C_43,bioclimatic ecosystem resilience index (beri),component
Target 9,"Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",GBF_T9_C_44,"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",component
Target 9,Red List Index (species used for food and medicine),GBF_T9_C_45,red list index (for utilized species),component
Target 9,Living Planet Index (for used species),GBF_T9_C_46,living planet index (used species),component
Target 10,Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification,GBF_T10_C_47,area of forest under sustainable management,component
Target 10,"Average income of small-scale food producers, by sex and indigenous status",GBF_T10_C_48,"average income of small-scale food producers, by sex and indigenous status",component
Target 11,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",GBF_T11_C_49,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",component
Target 11,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",GBF_T11_C_50,"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",component
Target 11,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities,GBF_T11_C_51,annual mean levels of fine particulate matter in cities,component
Target 11,Proportion of bodies of water with good ambient water quality,GBF_T11_C_52,proportion of bodies of water with good ambient water quality,component
Target 11,Level of water stress,GBF_T11_C_53,level of water stress,component
Target 12,Recreation and cultural ecosystem services provided,GBF_T12_C_54,recreation and cultural ecosystem services provided,component
Target 13,Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,GBF_T13_C_55,number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,component
Target 14,Number of countries with Implementation of the System of Environmental Economic Accounting,GBF_T14_C_56,number of countries with implementation of the system of environmental economic accounting,component
Target 15,Indicator based on Task Force for Naturerelated Financial Disclosures,GBF_T15_C_57,indicator based on task force for naturerelated financial disclosures,component
Target 16,Food waste index,GBF_T16_C_58,food waste index,component
Target 16,Material footprint per capita,GBF_T16_C_59,material footprint per capita,component
Target 16,Global environmental impacts of consumption,GBF_T16_C_60,global environmental impacts of consumption,component
Target 16,Ecological footprint,GBF_T16_C_61,ecological footprint,component
Target 18,"Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",GBF_T18_C_63,value of subsidies and other incentives harmful to biodiversity,component
Target 21,Species status index,GBF_T21_C_66,species status index,component
Target 21,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",GBF_T21_C_67,"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",component
Target 22,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",GBF_T22_C_68,"proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",component
Target 23,Proportion of seats held by women in (a) national parliaments and (b) local governments,GBF_T23_C_69,proportion of seats held by women in (a) national parliaments and (b) local governments,component
Target 23,Indicator on national implementation of the Gender Plan of Action 2023-2030,GBF_T23_C_70,indicator on national implementation of the gender plan of action 2023-2030,component
Target 23,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",GBF_T23_C_71,"proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",component
Goal A,Forest area as a proportion of total land area,GBF_GA_CY_1,forest area as a percentage of total land area,complementary
Goal A,Forest distribution,GBF_GA_CY_2,forest distribution,complementary
Goal A,"Tree cover loss
",GBF_GA_CY_3,tree cover loss,complementary
Goal A,Grassland and savannah extent,GBF_GA_CY_4,grassland and savannah extent,complementary
Goal A,"Mountain Green Cover Index
",GBF_GA_CY_5,mountain green cover index,complementary
Goal A,"Peatland extent and condition
",GBF_GA_CY_6,peatland extent and condition,complementary
Goal A,"Permafrost thickness, depth and extent
",GBF_GA_CY_7,"permafrost thickness, depth and extent",complementary
Goal A,"Continuous Global Mangrove Forest Cover
",GBF_GA_CY_8,continuous global mangrove forest area,complementary
Goal A,"Trends in mangrove forest fragmentation
",GBF_GA_CY_9,trends in mangrove forest fragmentation,complementary
Goal A,"Trends in mangrove extent
",GBF_GA_CY_10,trends in mangrove extent,complementary
Goal A,"Live coral cover 
",GBF_GA_CY_11,live coral cover,complementary
Goal A,"Hard coral cover and composition 
",GBF_GA_CY_12,hard coral cover and composition,complementary
Goal A,"Global coral reef extent 
",GBF_GA_CY_13,global coral reef extent,complementary
Goal A,Global Seagrass Extent (Seagrass Cover and composition),GBF_GA_CY_14,global seagrass extent (seagrass cover and composition),complementary
Goal A,"Global saltmarsh extent
",GBF_GA_CY_15,global saltmarsh extent,complementary
Goal A,"Kelp canopy extent
",GBF_GA_CY_16,kelp canopy extent,complementary
Goal A,"Macroalgal Canopy Cover and Composition
",GBF_GA_CY_17,macroalgal canopy cover and composition,complementary
Goal A,"Cover of key benthic groups
",GBF_GA_CY_18,cover of key benthic groups,complementary
Goal A,"Fleshy algae cover
",GBF_GA_CY_19,fleshy algae cover,complementary
Goal A,"Wetland Extent Trends Index
",GBF_GA_CY_20,wetland extent trends index,complementary
Goal A,Change in the extent of inland water ecosystems over time,GBF_GA_CY_21,change in the extent of inland water ecosystems over time,complementary
Goal A,"Forest Fragmentation Index
",GBF_GA_CY_22,forest fragmentation index,complementary
Goal A,"Forest Landscape Integrity Index
",GBF_GA_CY_23,forest landscape integrity index,complementary
Goal A,"Biomass of selected natural ecosystems 
",GBF_GA_CY_24,biomass of selected natural ecosystems,complementary
Goal A,Biodiversity Habitat Index,GBF_GA_CY_25,biodiversity habitat index,complementary
Goal A,"Global Vegetation Health Products
",GBF_GA_CY_26,global vegetation health products,complementary
Goal A,Bioclimatic Ecosystem Resilience Index (BERI),GBF_GA_CY_27,bioclimatic ecosystem resilience index (beri),complementary
Goal A,"Relative Magnitude of Fragmentation (RMF) 
",GBF_GA_CY_28,relative magnitude of fragmentation (rmf),complementary
Goal A,"Ecosystem Intactness Index
",GBF_GA_CY_29,ecosystem intactness index,complementary
Goal A,"Biodiversity Intactness Index 
",GBF_GA_CY_30,biodiversity intactness index,complementary
Goal A,"Ocean Health Index 
",GBF_GA_CY_31,ocean health index,complementary
Goal A,Extent of physical damage indicator to predominant seafloor habitats physical damage,GBF_GA_CY_32,extent of physical damage indicator to predominant seafloor habitats physical damage,complementary
Goal A,River Fragmentation Index,GBF_GA_CY_33,river fragmentation index,complementary
Goal A,Dendritic Connectivity Index,GBF_GA_CY_34,dendritic connectivity index,complementary
Goal A,Percentage of threatened species that are improving in status according to the Red List,GBF_GA_CY_35,percentage of threatened species that are improving in status,complementary
Goal A,Number of threatened species by species group,GBF_GA_CY_36,number of threatened species by species group,complementary
Goal A,Wild bird index,GBF_GA_CY_37,wild bird index,complementary
Goal A,Mean Species Abundance (MSA),GBF_GA_CY_38,mean species abundance (msa),complementary
Goal A,Species Protection Index,GBF_GA_CY_39,species protection index,complementary
Goal A,Changes in plankton biomass and abundance,GBF_GA_CY_40,changes in plankton biomass and abundance,complementary
Goal A,Fish abundance and biomass,GBF_GA_CY_41,fish abundance and biomass,complementary
Goal A,Genetic scorecard for wild species,GBF_GA_CY_42,genetic scorecard for wild species,complementary
Goal A,local species richness (predicts),GBF_GA_CY_43,local species richness (predicts),complementary
Goal A,"Marine species richness 
",GBF_GA_CY_44,marine species richness,complementary
Goal A,Comprehensiveness of conservation of socioeconomically as well as culturally valuable species.,GBF_GA_CY_45,comprehensiveness of conservation of socioeconomically as well as culturally valuable species,complementary
Goal A,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF_GA_CY_46,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,complementary
Goal A,Proportion of local breeds classified as being at risk extinction,GBF_GA_CY_47,proportion of local breeds classified as being at risk of extinction,complementary
Goal A,Red List Index (wild relatives of domesticated animals),GBF_GA_CY_48,red list index (wild relatives of farmed and domesticated species),complementary
Goal A,CMS Connectivity Indicator,GBF_GA_CY_49,cms connectivity indicator,complementary
Goal A,Species Status Index,GBF_GA_CY_50,species status index,complementary
Goal A,"Intact Wilderness 
",GBF_GA_CY_51,intact wilderness,complementary
Goal A,Expected Loss of Phylogenetic diversity,GBF_GA_CY_52,loss of phylogenetic diversity,complementary
Goal A,Proportion of populations maintained within species,GBF_GA_CY_53,proportion of populations maintained within species,complementary
Goal A,Free flowing rivers,GBF_GA_CY_54,free flowing rivers,complementary
Goal B,Levels of poverty in biodiversity depended communities,GBF_GB_CY_55,levels of poverty in biodiversity depended communities,complementary
Goal B,Ecological footprint,GBF_GB_CY_56,ecological footprint,complementary
Goal B,Number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,GBF_GB_CY_57,number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,complementary
Goal B,Expected loss of Phylogenetic Diversity,GBF_GB_CY_58,loss of phylogenetic diversity,complementary
Goal B,Red List Index (pollinating species),GBF_GB_CY_59,red list index (pollinators),complementary
Goal B,Green status index (pollinators),GBF_GB_CY_60,green status of species index (pollinators),complementary
Goal B,Air quality index,GBF_GB_CY_61,air quality index,complementary
Goal B,Air pollution emissions account,GBF_GB_CY_62,air pollution emissions account,complementary
Goal B,Zoonotic disease in wildlife,GBF_GB_CY_63,zoonotic disease,complementary
Goal B,Climatic impact index,GBF_GB_CY_64,climatic impact index,complementary
Goal B,Ocean acidification,GBF_GB_CY_65,ocean acidification,complementary
Goal B,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,GBF_GB_CY_66,level of water stress (freshwater withdrawal as a proportion of available freshwater resources),complementary
Goal B,Proportion of bodies of water with good ambient water quality,GBF_GB_CY_67,proportion of bodies of water with good ambient water quality,complementary
Goal B,Eflow index,GBF_GB_CY_68,eflow index,complementary
Goal B,Change in the quality of inland water ecosystems over time,GBF_GB_CY_69,change in the quality of inland water ecosystems over time,complementary
Goal B,Change in the quality of coastal water ecosystems over time,GBF_GB_CY_70,change in the quality of coastal water ecosystems over time,complementary
Goal B,Level of erosion,GBF_GB_CY_71,level of erosion,complementary
Goal B,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",GBF_GB_CY_72,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",complementary
Goal B,Intact wilderness,GBF_GB_CY_73,intact wilderness,complementary
Goal B,Biofuel production,GBF_GB_CY_74,biofuel production,complementary
Goal B,Maximum fish catch potential,GBF_GB_CY_75,fish catch potential,complementary
Goal B,Population involved in hunting and gathering,GBF_GB_CY_76,population involved in hunting and gathering,complementary
Goal B,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",GBF_GB_CY_77,"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",complementary
Goal B,Forestry Production & Trade (Wood Fuel),GBF_GB_CY_78,forestry production and trade (wood fuel),complementary
Goal B,Trends in the legal trade of medicinal plants,GBF_GB_CY_79,trends in the legal trade of medicinal plants,complementary
Goal B,Visitor management assessment,GBF_GB_CY_80,visitor management assessment,complementary
Goal B,Number of formal and nonformal education programmes transmitting spiritual and cultural values in the UNESCO World Network of Biosphere Reserves,GBF_GB_CY_81,number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,complementary
Goal B,"Number of mixed sites (having both natural and cultural Outstanding Universal Values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the UNESCO World Heritage List and UNESCO World Network of Biosphere Reserves",GBF_GB_CY_82,"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",complementary
Goal B,Index of Linguistic Diversity,GBF_GB_CY_83,linguistic diversity index,complementary
Goal B,Trends of Bilinguistic diversity and numbers of speakers of indigenous languages,GBF_GB_CY_84,trends of bilinguistic diversity and numbers of speakers of indigenous languages,complementary
Goal B,"Index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",GBF_GB_CY_85,"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",complementary
Goal B,Cultural vitality index,GBF_GB_CY_86,cultural vitality index,complementary
Goal B,UNESCO Culture 2030 (multiple indicators),GBF_GB_CY_87,unesco culture 2030 (multiple indicators),complementary
Goal B,Processes and tools to monitor the implementation of a right to a healthy environment (e.g. Included in NBSAPs and reported in national reports,GBF_GB_CY_88,processes and tools to monitor the implementation of a right to a healthy environment (e.g. included in nbsaps and reported in national reports,complementary
Goal B,Red List Index (for internationally traded species),GBF_GB_CY_89,red list index (internationally traded species),complementary
Goal C,Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,GBF_GC_CY_90,number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,complementary
Goal C,Total number of internationally recognized certificates published in the ABS Clearing-House,GBF_GC_CY_91,total number of internationally recognized certificates of compliance published in the abs clearing-house,complementary
Goal C,Number of checkpoint communiques published in the ABS Clearing-House,GBF_GC_CY_92,number of checkpoint communiques published in the abs clearing-house,complementary
Goal C,Number of internationally recognized certificates of compliance for non-commercial purposes,GBF_GC_CY_93,number of internationally recognized certificates of compliance for non-commercial purposes,complementary
Goal C,"Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting.",GBF_GC_CY_94,"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",complementary
Goal D,Finance mobilized for capacity-building,GBF_GD_CY_95,finance mobilized for capacity-building,complementary
