Goal/target,indicator_name,indicator_type,indic_id
Goal A,Evolutionarily Distinct and Globally Endangered (EDGE),component,GBF_GA_C_7
Goal A,Living Planet Index,component,GBF_GA_C_8
Goal A,Change in the extent of water-related ecosystems over time,component,GBF_GA_C_9
Goal B,Red List Index (for utilized species),component,GBF_GB_C_10
Goal B,Living Planet Index (for used species),component,GBF_GB_C_11
Target 1,Priority retention of intact / wilderness areas,component,GBF_T1_C_14
Target 2,Extent of natural ecosystems by type,component,GBF_T2_C_15
Target 2,Maintenance and restoration of connectivity of natural ecosystems,component,GBF_T2_C_16
Target 3,Protected area coverage of key biodiversity areas,component,GBF_T3_C_17
Target 3,Protected Area Management Effectiveness (PAME),component,GBF_T3_C_18
Target 3,Protconn,component,GBF_T3_C_19
Target 3,Protected Area Connectedness Index (PARC-Connectedness),component,GBF_T3_C_20
Target 3,Red List of Ecosystems,component,GBF_T3_C_21
Target 3,Connectivity Indicator (in development),component,GBF_T3_C_22
Target 3,The number of protected areas that have completed a site-level assessment of governance and equity (SAGE),component,GBF_T3_C_23
Target 3,Species Protection Index,component,GBF_T3_C_24
Target 4,Living Planet Index,component,GBF_T4_C_25
Target 4,Number of plant and animal genetic resources secured in medium or long-term conservation facilities,component,GBF_T4_C_26
Target 4,Trends in effective and sustainable management of human-wildlife conflict and coexistence,component,GBF_T4_C_27
Target 4,Green Status of Species Index,component,GBF_T4_C_28
Target 4,Conservation status of species listed in the CITES Appendices has stabilized or improved,component,GBF_T4_C_29
Target 5,Red List Index for used species,component,GBF_T5_C_30
Target 5,Living Planet Index for used species,component,GBF_T5_C_31
Target 5,Sustainable use of Wild Species,component,GBF_T5_C_32
Target 6,Rate of invasive species impact and rate of impact,component,GBF_T6_C_33
Target 6,Rate of invasive alien species spread,component,GBF_T6_C_34
Target 6,Number of invasive alien species introduction events,component,GBF_T6_C_35
Target 7,Fertilizer use,component,GBF_T7_C_36
Target 7,Proportion of domestic and industrial wastewater flow safely treated,component,GBF_T7_C_37
Target 7,Floating plastic debris density [by micro and macro plastics],component,GBF_T7_C_38
Target 7,Red List Index (impact of pollution),component,GBF_T7_C_39
Target 8,Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts),component,GBF_T8_C_40
Target 8,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity,component,GBF_T8_C_41
Target 8,National greenhouse inventories from land use and land use change,component,GBF_T8_C_42
Target 8,Bioclimatic Ecosystem Resilience Index (BERI),component,GBF_T8_C_43
Target 9,"Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",component,GBF_T9_C_44
Target 9,Red List Index (species used for food and medicine),component,GBF_T9_C_45
Target 9,Living Planet Index (for used species),component,GBF_T9_C_46
Target 10,Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification,component,GBF_T10_C_47
Target 10,"Average income of small-scale food producers, by sex and indigenous status",component,GBF_T10_C_48
Target 11,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",component,GBF_T11_C_49
Target 11,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",component,GBF_T11_C_50
Target 11,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities,component,GBF_T11_C_51
Target 11,Proportion of bodies of water with good ambient water quality,component,GBF_T11_C_52
Target 11,Level of water stress,component,GBF_T11_C_53
Target 12,Recreation and cultural ecosystem services provided,component,GBF_T12_C_54
Target 13,Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,component,GBF_T13_C_55
Target 14,Number of countries with Implementation of the System of Environmental Economic Accounting,component,GBF_T14_C_56
Target 15,Indicator based on Task Force for Naturerelated Financial Disclosures,component,GBF_T15_C_57
Target 16,Food waste index,component,GBF_T16_C_58
Target 16,Material footprint per capita,component,GBF_T16_C_59
Target 16,Global environmental impacts of consumption,component,GBF_T16_C_60
Target 16,Ecological footprint,component,GBF_T16_C_61
Target 18,"Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",component,GBF_T18_C_63
Target 21,Species status index,component,GBF_T21_C_66
Target 21,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",component,GBF_T21_C_67
Target 22,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",component,GBF_T22_C_68
Target 23,Proportion of seats held by women in (a) national parliaments and (b) local governments,component,GBF_T23_C_69
Target 23,Indicator on national implementation of the Gender Plan of Action 2023-2030,component,GBF_T23_C_70
Target 23,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",component,GBF_T23_C_71
Goal A,Forest area as a proportion of total land area,complementary,GBF_GA_CY_1
Goal A,Forest distribution,complementary,GBF_GA_CY_2
Goal A,"Tree cover loss
",complementary,GBF_GA_CY_3
Goal A,Grassland and savannah extent,complementary,GBF_GA_CY_4
Goal A,"Mountain Green Cover Index
",complementary,GBF_GA_CY_5
Goal A,"Peatland extent and condition
",complementary,GBF_GA_CY_6
Goal A,"Permafrost thickness, depth and extent
",complementary,GBF_GA_CY_7
Goal A,"Continuous Global Mangrove Forest Cover
",complementary,GBF_GA_CY_8
Goal A,"Trends in mangrove forest fragmentation
",complementary,GBF_GA_CY_9
Goal A,"Trends in mangrove extent
",complementary,GBF_GA_CY_10
Goal A,"Live coral cover 
",complementary,GBF_GA_CY_11
Goal A,"Hard coral cover and composition 
",complementary,GBF_GA_CY_12
Goal A,"Global coral reef extent 
",complementary,GBF_GA_CY_13
Goal A,Global Seagrass Extent (Seagrass Cover and composition),complementary,GBF_GA_CY_14
Goal A,"Global saltmarsh extent
",complementary,GBF_GA_CY_15
Goal A,"Kelp canopy extent
",complementary,GBF_GA_CY_16
Goal A,"Macroalgal Canopy Cover and Composition
",complementary,GBF_GA_CY_17
Goal A,"Cover of key benthic groups
",complementary,GBF_GA_CY_18
Goal A,"Fleshy algae cover
",complementary,GBF_GA_CY_19
Goal A,"Wetland Extent Trends Index
",complementary,GBF_GA_CY_20
Goal A,Change in the extent of inland water ecosystems over time,complementary,GBF_GA_CY_21
Goal A,"Forest Fragmentation Index
",complementary,GBF_GA_CY_22
Goal A,"Forest Landscape Integrity Index
",complementary,GBF_GA_CY_23
Goal A,"Biomass of selected natural ecosystems 
",complementary,GBF_GA_CY_24
Goal A,Biodiversity Habitat Index,complementary,GBF_GA_CY_25
Goal A,"Global Vegetation Health Products
",complementary,GBF_GA_CY_26
Goal A,Bioclimatic Ecosystem Resilience Index (BERI),complementary,GBF_GA_CY_27
Goal A,"Relative Magnitude of Fragmentation (RMF) 
",complementary,GBF_GA_CY_28
Goal A,"Ecosystem Intactness Index
",complementary,GBF_GA_CY_29
Goal A,"Biodiversity Intactness Index 
",complementary,GBF_GA_CY_30
Goal A,"Ocean Health Index 
",complementary,GBF_GA_CY_31
Goal A,Extent of physical damage indicator to predominant seafloor habitats physical damage,complementary,GBF_GA_CY_32
Goal A,River Fragmentation Index,complementary,GBF_GA_CY_33
Goal A,Dendritic Connectivity Index,complementary,GBF_GA_CY_34
Goal A,Percentage of threatened species that are improving in status according to the Red List,complementary,GBF_GA_CY_35
Goal A,Number of threatened species by species group,complementary,GBF_GA_CY_36
Goal A,Wild bird index,complementary,GBF_GA_CY_37
Goal A,Mean Species Abundance (MSA),complementary,GBF_GA_CY_38
Goal A,Species Protection Index,complementary,GBF_GA_CY_39
Goal A,Changes in plankton biomass and abundance,complementary,GBF_GA_CY_40
Goal A,Fish abundance and biomass,complementary,GBF_GA_CY_41
Goal A,Genetic scorecard for wild species,complementary,GBF_GA_CY_42
Goal A,local species richness (predicts),complementary,GBF_GA_CY_43
Goal A,"Marine species richness 
",complementary,GBF_GA_CY_44
Goal A,Comprehensiveness of conservation of socioeconomically as well as culturally valuable species.,complementary,GBF_GA_CY_45
Goal A,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,complementary,GBF_GA_CY_46
Goal A,Proportion of local breeds classified as being at risk extinction,complementary,GBF_GA_CY_47
Goal A,Red List Index (wild relatives of domesticated animals),complementary,GBF_GA_CY_48
Goal A,CMS Connectivity Indicator,complementary,GBF_GA_CY_49
Goal A,Species Status Index,complementary,GBF_GA_CY_50
Goal A,"Intact Wilderness 
",complementary,GBF_GA_CY_51
Goal A,Expected Loss of Phylogenetic diversity,complementary,GBF_GA_CY_52
Goal A,Proportion of populations maintained within species,complementary,GBF_GA_CY_53
Goal A,Free flowing rivers,complementary,GBF_GA_CY_54
Goal B,Levels of poverty in biodiversity depended communities,complementary,GBF_GB_CY_55
Goal B,Ecological footprint,complementary,GBF_GB_CY_56
Goal B,Number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,complementary,GBF_GB_CY_57
Goal B,Expected loss of Phylogenetic Diversity,complementary,GBF_GB_CY_58
Goal B,Red List Index (pollinating species),complementary,GBF_GB_CY_59
Goal B,Green status index (pollinators),complementary,GBF_GB_CY_60
Goal B,Air quality index,complementary,GBF_GB_CY_61
Goal B,Air pollution emissions account,complementary,GBF_GB_CY_62
Goal B,Zoonotic disease in wildlife,complementary,GBF_GB_CY_63
Goal B,Climatic impact index,complementary,GBF_GB_CY_64
Goal B,Ocean acidification,complementary,GBF_GB_CY_65
Goal B,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,complementary,GBF_GB_CY_66
Goal B,Proportion of bodies of water with good ambient water quality,complementary,GBF_GB_CY_67
Goal B,Eflow index,complementary,GBF_GB_CY_68
Goal B,Change in the quality of inland water ecosystems over time,complementary,GBF_GB_CY_69
Goal B,Change in the quality of coastal water ecosystems over time,complementary,GBF_GB_CY_70
Goal B,Level of erosion,complementary,GBF_GB_CY_71
Goal B,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",complementary,GBF_GB_CY_72
Goal B,Intact wilderness,complementary,GBF_GB_CY_73
Goal B,Biofuel production,complementary,GBF_GB_CY_74
Goal B,Maximum fish catch potential,complementary,GBF_GB_CY_75
Goal B,Population involved in hunting and gathering,complementary,GBF_GB_CY_76
Goal B,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",complementary,GBF_GB_CY_77
Goal B,Forestry Production & Trade (Wood Fuel),complementary,GBF_GB_CY_78
Goal B,Trends in the legal trade of medicinal plants,complementary,GBF_GB_CY_79
Goal B,Visitor management assessment,complementary,GBF_GB_CY_80
Goal B,Number of formal and nonformal education programmes transmitting spiritual and cultural values in the UNESCO World Network of Biosphere Reserves,complementary,GBF_GB_CY_81
Goal B,"Number of mixed sites (having both natural and cultural Outstanding Universal Values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the UNESCO World Heritage List and UNESCO World Network of Biosphere Reserves",complementary,GBF_GB_CY_82
Goal B,Index of Linguistic Diversity,complementary,GBF_GB_CY_83
Goal B,Trends of Bilinguistic diversity and numbers of speakers of indigenous languages,complementary,GBF_GB_CY_84
Goal B,"Index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",complementary,GBF_GB_CY_85
Goal B,Cultural vitality index,complementary,GBF_GB_CY_86
Goal B,UNESCO Culture 2030 (multiple indicators),complementary,GBF_GB_CY_87
Goal B,Processes and tools to monitor the implementation of a right to a healthy environment (e.g. Included in NBSAPs and reported in national reports,complementary,GBF_GB_CY_88
Goal B,Red List Index (for internationally traded species),complementary,GBF_GB_CY_89
Goal C,Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,complementary,GBF_GC_CY_90
Goal C,Total number of internationally recognized certificates published in the ABS Clearing-House,complementary,GBF_GC_CY_91
Goal C,Number of checkpoint communiques published in the ABS Clearing-House,complementary,GBF_GC_CY_92
Goal C,Number of internationally recognized certificates of compliance for non-commercial purposes,complementary,GBF_GC_CY_93
Goal C,"Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting.",complementary,GBF_GC_CY_94
Goal D,Finance mobilized for capacity-building,complementary,GBF_GD_CY_95
Goal D,"Financial and technical assistance provided in dollars (including through South-South, North-South and triangular cooperation)",complementary,GBF_GD_CY_96
Goal D,"Finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",complementary,GBF_GD_CY_97
Goal D,"Number of scientists per population
",complementary,GBF_GD_CY_98
Goal D,Joint scientific papers published in Ocean Biodiversity Information System (OBIS) by sector,complementary,GBF_GD_CY_99
Goal D,Nationally maintained research vessels,complementary,GBF_GD_CY_100
Goal D,Proportion of total research budget allocated to research in the field of marine technology,complementary,GBF_GD_CY_101
Goal D,Volume of official development assistance flows for scholarships by sector and type of study,complementary,GBF_GD_CY_102
Goal D,Global imports of information and communication technology (ICT) goods as presented by bilateral trade flows by ICT goods categories,complementary,GBF_GD_CY_103
Goal D,"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",complementary,GBF_GD_CY_104
Target 1,Number of countries using natural capital accounts in planning processes,complementary,GBF_T1_CY_105
Target 1,Percentage of spatial plans utilizing information on key biodiversity areas,complementary,GBF_T1_CY_106
Target 1,Habitat patches located within marine protected areas or integrated coastal zone management (ICZM),complementary,GBF_T1_CY_107
Target 1,Other spatial management plans (not captured as ICZM or marine spatial planning in 14.2.1),complementary,GBF_T1_CY_108
Target 1,Number of countries using ocean accounts in planning processes,complementary,GBF_T1_CY_109
Target 1,Proportion of transboundary basin area with an operational arrangement for water cooperation,complementary,GBF_T1_CY_110
Target 1,Percent of total land area that is under cultivation,complementary,GBF_T1_CY_111
Target 1,Extent of natural ecosystems by type,complementary,GBF_T1_CY_112
Target 1,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation would work here for IPs (not necessarily LCs), if spatial planning was substituted for conservation.",complementary,GBF_T1_CY_113
Target 1,Ecosystem Integrity Index,complementary,GBF_T1_CY_114
Target 2,Habitat distributional range,complementary,GBF_T2_CY_115
Target 2,"Index of Species Rarity Sites, High Biodiversity Areas, Large Mammal Landscapes, Intact Wilderness and Climate Stabilization Areas",complementary,GBF_T2_CY_116
Target 2,Increase in secondary natural forest cover,complementary,GBF_T2_CY_117
Target 2,Annual Tropical Primary Tree Cover Loss,complementary,GBF_T2_CY_118
Target 2,Forest Landscape Integrity Index,complementary,GBF_T2_CY_119
Target 2,Global Ecosystem Restoration Index,complementary,GBF_T2_CY_120
Target 2,Free flowing rivers,complementary,GBF_T2_CY_121
Target 2,Percentage of cropped landscapes with at least 10 % natural land,complementary,GBF_T2_CY_122
Target 2,Bioclimatic Ecosystem Resilience Index (BERI),complementary,GBF_T2_CY_123
Target 2,Priority retention of intact / wilderness areas,complementary,GBF_T2_CY_124
Target 2,Status of Key Biodiversity Areas,complementary,GBF_T2_CY_125
Target 2,Biodiversity Habitat Index,complementary,GBF_T2_CY_126
Target 2,Red List Index,complementary,GBF_T2_CY_127
Target 2,Red List of Ecosystems,complementary,GBF_T2_CY_128
Target 2,Living Planet Index,complementary,GBF_T2_CY_129
Target 2,Species habitat Index,complementary,GBF_T2_CY_130
Target 3,"Protected area downgrading, downsizing and degazettement (PD)",complementary,GBF_T3_CY_131
Target 3,Status of key biodiversity areas,complementary,GBF_T3_CY_132
Target 3,IUCN Green List of Protected and Conserved Areas,complementary,GBF_T3_CY_133
Target 3,Number of hectares of UNESCO designated sites (natural and mixed World Heritage sites and Biosphere Reserves),complementary,GBF_T3_CY_134
Target 3,Protected area and OECM management effectiveness (MEPCA) indicator,complementary,GBF_T3_CY_135
Target 3,Protected Area Isolation Index (PAI),complementary,GBF_T3_CY_136
Target 3,Protected Areas Network metric (ProNet),complementary,GBF_T3_CY_137
Target 3,Extent to which protected areas and other effective area-based conservation measures (OECMs) cover Key Biodiversity Areas that are important for migratory species,complementary,GBF_T3_CY_138
Target 3,Coverage of Protected areas and OECMS and traditional territories (by governance type),complementary,GBF_T3_CY_139
Target 3,Ramsar Management Effectiveness Tracking Tool (R-METT),complementary,GBF_T3_CY_140
Target 3,Percentage of biosphere reserves that have a positive conservation outcome and effective management,complementary,GBF_T3_CY_141
Target 3,Extent of indigenous peoples and local communities lands that have some form of recognition,complementary,GBF_T3_CY_142
Target 3,Species Protection Index,complementary,GBF_T3_CY_143
Target 3,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation",complementary,GBF_T3_CY_144
Target 3,Red List of Ecosystems,complementary,GBF_T3_CY_145
Target 3,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",complementary,GBF_T3_CY_146
Target 4,Species threat abatement and restoration metric,complementary,GBF_T4_CY_147
Target 4,Changing status of evolutionary distinct and globally endangered species (EDGE Index),complementary,GBF_T4_CY_148
Target 4,Percentage of threatened species that are improving in status,complementary,GBF_T4_CY_149
Target 4,Number of CMS daughter agreements,complementary,GBF_T4_CY_150
Target 4,Proportion of local breeds classified as being at risk extinction,complementary,GBF_T4_CY_151
Target 4,Red List Index (wild relatives of domesticated animals),complementary,GBF_T4_CY_152
Target 4,Rate of invasive alien species establishment,complementary,GBF_T4_CY_153
Target 5,Sustainable watershed and inland fisheries index,complementary,GBF_T5_CY_154
Target 5,Red List Index (for internationally traded species and for migratory species),complementary,GBF_T5_CY_155
Target 5,Marine Stewardship Council Fish catch,complementary,GBF_T5_CY_156
Target 5,Total catch of cetaceans under International Convention for the Regulation of Whaling,complementary,GBF_T5_CY_157
Target 5,By catch of vulnerable and non-target species,complementary,GBF_T5_CY_158
Target 5,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",complementary,GBF_T5_CY_159
Target 5,Proportion of legal and illegal wildlife trade consisting of species threatened with extinction,complementary,GBF_T5_CY_160
Target 5,Illegal trade by CITES species classification,complementary,GBF_T5_CY_161
Target 5,Number of countries incorporating trade in their national biodiversity policy,complementary,GBF_T5_CY_162
Target 5,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",complementary,GBF_T5_CY_163
Target 5,Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,complementary,GBF_T5_CY_164
Target 5,Number of MSC Chain of Custody Certification holders by distribution country,complementary,GBF_T5_CY_165
Target 5,Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements),complementary,GBF_T5_CY_166
Target 6,Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species,complementary,GBF_T6_CY_167
Target 6,"Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",complementary,GBF_T6_CY_168
Target 6,Red List Index (impacts of invasive alien species),complementary,GBF_T6_CY_169
Target 7,Trends in Loss of Reactive Nitrogen to the Environment.,complementary,GBF_T7_CY_170
Target 7,Trends in Nitrogen Deposition,complementary,GBF_T7_CY_171
Target 7,Municipal solid waste collected and managed,complementary,GBF_T7_CY_172
Target 7,Hazardous waste generation,complementary,GBF_T7_CY_173
Target 7,Trends in the amount of litter in the water column including microplastics and on the seafloor,complementary,GBF_T7_CY_174
Target 7,Index of coastal eutrophication (icep),complementary,GBF_T7_CY_175
Target 7,plastic debris density,complementary,GBF_T7_CY_176
Target 7,Red List of Ecosystems,complementary,GBF_T7_CY_177
Target 7,Underwater noise pollution,complementary,GBF_T7_CY_178
Target 7,"Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",complementary,GBF_T7_CY_179
Target 7,Pesticide use per area of cropland,complementary,GBF_T7_CY_180
Target 8,Above-ground biomass stock in forest (tonnes/ha),complementary,GBF_T8_CY_181
Target 8,National greenhouse inventories from land use and land use change,complementary,GBF_T8_CY_182
Target 8,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,complementary,GBF_T8_CY_183
Target 8,"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",complementary,GBF_T8_CY_184
Target 8,Index of coastal eutrophication,complementary,GBF_T8_CY_185
Target 8,"Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover",complementary,GBF_T8_CY_186
Target 9,Proportion of fish stocks within biologically sustainable levels,complementary,GBF_T9_CY_187
Target 9,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",complementary,GBF_T9_CY_188
Target 9,Number of MSC Chain of Custody Certification holders by distribution country,complementary,GBF_T9_CY_189
Target 9,Spawning stock biomass (related to commercially exploited species),complementary,GBF_T9_CY_190
Target 9,Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities,complementary,GBF_T9_CY_191
Target 9,Volume of production per labour unit by classes of farming/pastoral/ forestry enterprise size,complementary,GBF_T9_CY_192
Target 10,Agrobiodiversity Index,complementary,GBF_T10_CY_193
Target 10,Changes in soil organic carbon stocks,complementary,GBF_T10_CY_194
Target 10,Red List Index (wild relatives of domesticated animals),complementary,GBF_T10_CY_195
Target 10,Red List Index (pollinating species),complementary,GBF_T10_CY_196
Target 10,Proportion of local breeds classified as being at risk extinction,complementary,GBF_T10_CY_197
Target 10,Proportion of land that is degraded over total land area,complementary,GBF_T10_CY_198
Target 11,Air emission accounts,complementary,GBF_T11_CY_199
